Date,Author,Title (Item),Periodical Title,Language 1,Author Country 1,Author Country 2,Publisher,city,country,Pub Location,Genre,ISBN,Number of Pages,Original Publication Date,Original Pub Language,Original Language Title,Original Language Publisher,Translator Name,Cover Photo URL,Wikipedia URL
1999,"Danticat, Edwidge","Palabra, Ojos, Memoria",,Spanish,Haiti,,Círculo de lectores,Barcelona,Spain,"Barcelona, Spain",Fiction (Novel),978-84-226-7576-1,205,1994,English,"Breath, Eyes, Memory",Soho Press,"Alou, Damián",https://pictures.abebooks.com/inventory/md/md30856372654.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2000,"Danticat, Edwidge","Pust, Blikk, Minne",,Norwegian,Haiti,,Pax Forlag,Oslo,Norway,"Oslo, Norway",Fiction (Novel),978-82-530-2153-9,176,1994,English,"Breath, Eyes, Memory",Soho Press,"Elligers, Anne",https://img7.custompublish.com/getfile.php/2760721.2337.qcfswtveyx/238x0/5601494_2760721.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2020,"Danticat, Edwidge",Everything Inside,,English,Haiti,,Vintage Books,"New York, NY",United States,"New York, NY, United States",Fiction (Short Story Collection),978-05-255-6305-1,240,2019,English,Everything Inside,Alfred A. Knopf,NA,"https://images-na.ssl-images-amazon.com/images/I/51RD2ma4xzL._SX322_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Edwidge_Danticat
2014,"Danticat, Edwidge",Claire of the Sea Light,,English,Haiti,,Quercus,London,England,"London, England",Fiction (Novel),978-17-820-6851-8,239,2013,English,Claire of the Sea Light,Alfred A. Knopf,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+554222243_140.jpg,en.wikipedia.org/wiki/Claire_of_the_Sea_Light
2020,"Danticat, Edwidge",Everything Inside,,English,Haiti,,Vintage Books,"New York, NY",United States,"New York, NY, United States",Fiction (Short Story Collection),978-0-525-56305-1,240,2019,English,Everything Inside,Alfred A. Knopf,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+0450497576_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2020,"Danticat, Edwidge",Everything Inside,,English,Haiti,,Vintage Books,"New York, NY",United States,"New York, NY, United States",Fiction (Short Story Collection),978-0-525-56305-1,240,2019,English,Everything Inside,Alfred A. Knopf,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+0450497576_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2000,"Danticat, Edwidge",The Farming of Bones,,English,Haiti,,Abacus,London,England,"London, England",Fiction (Novel),978-0-349-11163-6,320,1998,English,The Farming of Bones,Soho Press,NA,"https://images-na.ssl-images-amazon.com/images/I/51JSOOrQ82L._SX317_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/The_Farming_of_Bones
1999,"Danticat, Edwidge",The Farming of Bones,,English,Haiti,,Abacus,London,England,"London, England",Fiction (Novel),978-0-349-11164-3,312,1998,English,The Farming of Bones,Soho Press,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+527723624_140.jpg,https://en.wikipedia.org/wiki/The_Farming_of_Bones
1998,"Danticat, Edwidge",The Farming of Bones,,English,Haiti,,Soho Press,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-1-569-47126-5,312,1998,English,The Farming of Bones,Soho Press,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+012072097_140.jpg,https://en.wikipedia.org/wiki/The_Farming_of_Bones
2011,"Danticat, Edwidge",The Butterfly's Way: Voices From the Haitian Dyaspora in the United States,,English,Haiti,,Soho Press,"New York, NY",United States,"New York, NY, United States",Poetry Collection,978-1-56947-748-9,230,2001,English,The Butterfly's Way: Voices From the Haitian Dyaspora in the United States,Soho Press,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+751159922_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2014,"Danticat, Edwidge",Haiti Noir 2: The Classics,,English,Haiti,,Akashic Books,"New York, NY",United States,"New York, NY, United States",Fiction (Short Story Collection),978-1-61775-204-9,255,2013,English,Haiti Noir 2: The Classics,Akashic Books,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+150169554_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2011,"Danticat, Edwidge",Create Dangerously: The Immigrant Artist at Work,,English,Haiti,,Vintage Books,"New York, NY",United States,"New York, NY, United States",Creative Nonfiction,978-0-307-94643-0,208,2010,English,Create Dangerously: The Immigrant Artist at Work,Princeton University Press,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+084912441_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2011,"Danticat, Edwidge",Haiti Noir,,English,Haiti,,Akashic Books,"New York, NY",United States,"New York, NY, United States",Fiction (Short Story Collection),978-1-61775-012-0,309,2010,English,Haiti Noir,Akashic Books,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+711642934_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2017,"Danticat, Edwidge",La Récolte Douce des Larmes,,French,Haiti,,La Magnétothèque,Montréal,Canada,"Montréal, Canada",Fiction (Novel),NA,NA,1998,English,The Farming of Bones,Soho Press,NA,https://images-na.ssl-images-amazon.com/images/I/415NE1K2TAL._SX210_.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
1999,"Danticat, Edwidge",Die Süße Saat Der Tränen: Roman,,German,Haiti,,Claassen,München,Germany,"München, Germany",Fiction (Novel),978-3-546-00166-3,299,1998,English,The Farming of Bones,Soho Press,"Thill, Beate","https://images-na.ssl-images-amazon.com/images/I/51HBB5XFQTL._SX304_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Edwidge_Danticat
2000,"Danticat, Edwidge",Amabelle Della Canna da Zucchero,,Italian,Haiti,,Piemme,Casale Monferrato,Italy,"Casale Monferrato, Italy",Fiction (Novel),978-88-384-4782-2,300,1998,English,The Farming of Bones,Soho Press,"Pasetti, Maria Clara","https://images-na.ssl-images-amazon.com/images/I/21ADa40WbFL._BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/The_Farming_of_Bones
1999,"Danticat, Edwidge",Amabelle Della Canna da Zucchero,,Italian,Haiti,,Piemme,Casale Monferrato,Italy,"Casale Monferrato, Italy",Fiction (Novel),978-88-384-4152-3,304,1998,English,The Farming of Bones,Soho Press,"Pasetti, Maria Clara",https://pictures.abebooks.com/isbn/9788838441523-us.jpg,https://en.wikipedia.org/wiki/The_Farming_of_Bones
1999,"Danticat, Edwidge",Ved Elven Massacre,,Norwegian,Haiti,,Pax Forlag,Oslo,Norway,"Oslo, Norway",Fiction (Novel),978-82-530-2040-2,244,1998,English,The Farming of Bones,Soho Press,"Elligers, Anne",https://static.bokelskere.no/e92982d88bb738062072ec673c3734fd83fe1de1f96f5de6527a3f7c.jpeg,https://en.wikipedia.org/wiki/The_Farming_of_Bones
1999,"Danticat, Edwidge",Cosecha de Huesos,,Spanish,Haiti,,Grupo Editorial Norma,Buenos Aires,Argentina,"Buenos Aires, Argentina",Fiction (Novel),978-95-804-5205-8,308,1998,English,The Farming of Bones,Soho Press,"Cohen, Marcelo","https://images-na.ssl-images-amazon.com/images/I/217JAR36BFL._BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/The_Farming_of_Bones
2000,"Danticat, Edwidge",Cosecha de Huesos,,Spanish,Haiti,,Lumen,Barcelona,Spain,"Barcelona, Spain",Fiction (Novel),978-84-264-4961-0,440,1998,English,The Farming of Bones,Soho Press,"Pérez Viza, Alejandro",https://pictures.abebooks.com/isbn/9788426449610-us.jpg,https://en.wikipedia.org/wiki/The_Farming_of_Bones
2000,"Danticat, Edwidge",Ḳene Ha-Sukar Ha-Marim,,Hebrew,Haiti,,Kinneret,Tel Aviv,Israel,"Tel Aviv, Israel",Fiction (Novel),978-96-528-6928-9,268,1998,English,The Farming of Bones,Soho Press,"Yotam, Adi",NA,https://en.wikipedia.org/wiki/The_Farming_of_Bones
2001,"Danticat, Edwidge",La Récolte Douce des Larmes,,French,Haiti,,Éditions Grasset et Fasquelle,Paris,France,"Paris, France",Fiction (Novel),978-2-264-03057-3,334,1998,English,The Farming of Bones,Soho Press,"Chabert, Jacques","https://images-na.ssl-images-amazon.com/images/I/51GCVWCNDPL._SX282_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/The_Farming_of_Bones
2000,"Danticat, Edwidge",La Récolte Douce des Larmes,,French,Haiti,,France Loisirs,Paris,France,"Paris, France",Fiction (Novel),978-2-7441-3950-5,334,1998,English,The Farming of Bones,Soho Press,"Chabert, Jacques","https://images-na.ssl-images-amazon.com/images/I/51ixNiDYEjL._SX345_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/The_Farming_of_Bones
2000,"Danticat, Edwidge",Die Süße Saat Der Tränen: Roman,,German,Haiti,,Deutscher Taschenbuch-Verlag,München,Germany,"München, Germany",Fiction (Novel),978-3-548-60015-4,299,1998,English,The Farming of Bones,Soho Press,"Thill, Beate","https://images-na.ssl-images-amazon.com/images/I/21T2073QA8L._BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/The_Farming_of_Bones
2000,"Danticat, Edwidge",El Cultivo de Huesos,,Spanish,Haiti,,Lumen,Barcelona,Spain,"Barcelona, Spain",Fiction (Novel),NA,NA,1998,English,The Farming of Bones,Soho Press,"Fuentes Hernández, Jessica",NA,https://en.wikipedia.org/wiki/The_Farming_of_Bones
1998,"Danticat, Edwidge",The Farming of Bones,,English,Haiti,,Soho Press,London,England,"London, England",Fiction (Novel),978-156-94-7126-5,312,1998,English,The Farming of Bones,Soho Press,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+012072097_140.jpgg,https://en.wikipedia.org/wiki/The_Farming_of_Bones
2000,"Danticat, Edwidge",Vér Ès Cukornád,,Hungarian,Haiti,,Európa,Budapest,Hungary,"Budapest, Hungary",Fiction (Novel),978-963-07-6749-1,332,1998,English,The Farming of Bones,Soho Press,"Nagy, Nóra",https://moly.hu/system/covers/normal/covers_38928.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
1999,"Danticat, Edwidge",La Récolte Douce des Larmes,,French,Haiti,,Grasset,Paris,France,"Paris, France",Fiction (Novel),978-2-246-58231-1,334,1998,English,The Farming of Bones,Soho Press,"Chabert, Jacques","https://images-na.ssl-images-amazon.com/images/I/41laoNY0b8L._SX301_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Edwidge_Danticat
2011,"Danticat, Edwidge",Honegari no Toki,,Japanese,Haiti,,Sakuhinsha,Tokyo,Japan,"Tokyo, Japan",Fiction (Novel),978-4-86182-308-4,332,1998,English,The Farming of Bones,Soho Press,"Sagawa, Aiko","https://images-na.ssl-images-amazon.com/images/I/41WmTcTCcoL._SX334_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Edwidge_Danticat
2020,"Danticat, Edwidge",Att Skörda Ben,,Swedish,Haiti,,Bokförlaget Tranan,Stockholm,Sweden,"Stockholm, Sweden",Fiction (Novel),978-91-89175-28-0,320,1998,English,The Farming of Bones,Soho Press,"Sporrong, Dorothee",https://pictures.abebooks.com/inventory/31064397537.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2000,"Danticat, Edwidge",Veressä Viljava Maa,,Finnish,Haiti,,Gummerus,Jyväskylä,Finland,"Jyväskylä, Finland",Fiction (Novel),978-951-20-5382-7,311,1998,English,The Farming of Bones,Soho Press,"Tamminen, Leena",https://www.finlandiakirja.fi/media/catalog/product/cache/28ebde07709ed2fb49a9cbca4a68e9b1/j/u/jur3hv_462900_0.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2000,"Danticat, Edwidge",Kene Ha-sukar Ha-marim,,Hebrew,Haiti,,Kinneret,Tel Aviv,Israel,"Tel Aviv, Israel",Fiction (Novel),978-965-286-928-9,268,1998,English,The Farming of Bones,Soho Press,"Yotam, Adi",NA,https://en.wikipedia.org/wiki/Edwidge_Danticat
2013,"Danticat, Edwidge",Haiti Noir,,English,Haiti,,Akashic Books,"Brooklyn, NY",United States,"Brooklyn, NY, United States",Fiction (Short Story Collection),978-161-775-012-0,304,2010,English,Haiti Noir,Akashic Books,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+062360813_140.jpg,https://en.wikipedia.org/wiki/Edwidge_Danticat
2021,"Danticat, Edwidge",Haïti Noir,,French,Haiti,,Asphalte Éditions,Paris,France,"Paris, France",Fiction (Short Story Collection),978-2365331050,400,2010,English,Haiti Noir,Akashic Books,"Barbe-Girault, Patricia","https://images-na.ssl-images-amazon.com/images/I/51IlaPC+qWL._SX345_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Edwidge_Danticat
2011,"Danticat, Edwidge",Haiti: A Bi-Cultural Experience,,Spanish,Haiti,,IDB Cultural Center,"Washington, DC",United States,"Washington, DC, United States",NA,NA,9,1995,English,Haiti: A Bi-Cultural Experience,IDB Cultural Center,NA,NA,https://en.wikipedia.org/wiki/Edwidge_Danticat
1977,"Das, Mahadai",A Collection of Poems,,English,Guyana,,Guyana National Service Pub. Centre,Georgetown,Guyana,"Georgetown, Guyana",Poetry Collection,NA,25,1977,English,A Collection of Poems,Guyana National Service Pub. Centre,NA,NA,https://en.wikipedia.org/wiki/Mahadai_Das
1977,"Das, Mahadai",I Want To Be A Poetess Of My People,,English,Guyana,,Guyana National Service Pub. Centre,Georgetown,Guyana,"Georgetown, Guyana",Poetry Collection,NA,28,1977,English,I Want To Be A Poetess Of My People,Guyana National Service Pub. Centre,NA,NA,https://en.wikipedia.org/wiki/Mahadai_Das
2022,"Dass, Sarah",Where The Rhythm Takes You,,English,Trinidad & Tobago,,Balzer + Bray,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-06-301853-2,352,2021,English,Where The Rhythm Takes You,Balzer + Bray,NA,"https://images-na.ssl-images-amazon.com/images/I/511UM23cNeL._SX329_BO1,204,203,200_.jpg",NA
2021,"Dass, Sarah",Where The Rhythm Takes You,,English,Trinidad & Tobago,,Balzer + Bray,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-06-301855-6,352,2021,English,Where The Rhythm Takes You,Balzer + Bray,NA,"https://images-na.ssl-images-amazon.com/images/I/511UM23cNeL._SX329_BO1,204,203,200_.jpg",NA
1966,"Dathorne, O. R.",Caribbean Narrative: An Anthology of West Indian Writing,,English,Guyana,,Heinemann,London,England,"London, England",Anthology,978-0-435-98221-8,247,1965,English,Caribbean Narrative: An Anthology of West Indian Writing,Heinemann,NA,NA,https://en.wikipedia.org/wiki/Oscar_Dathorne
1979,"Dathorne, O. R.",Caribbean Narrative: An Anthology of West Indian Writing,,English,Guyana,,Heinemann,London,England,"London, England",Anthology,978-0-435-98221-8,247,1965,English,Caribbean Narrative: An Anthology of West Indian Writing,Heinemann,NA,NA,https://en.wikipedia.org/wiki/Oscar_Dathorne
1966,"Dathorne, O. R.",Caribbean Narrative: An Anthology of West Indian Writing,,English,Guyana,,Heinemann,London,England,"London, England",Anthology,978-0-435-98221-8,247,1965,English,Caribbean Narrative: An Anthology of West Indian Writing,Heinemann,NA,NA,https://en.wikipedia.org/wiki/Oscar_Dathorne
1854,"Davy, John","The West Indies, Before and Since Slave Emancipation, Comprising the Windward and Leeward Islands' Military Command; Founded on Notes and Observations Collected During a Three Years' Residence",,English,England,,W. and F.G. Cash,London,England,"London, England",Nonfiction Book,NA,551,1854,English,"The West Indies, Before and Since Slave Emancipation, Comprising the Windward and Leeward Islands' Military Command; Founded on Notes and Observations Collected During a Three Years' Residence",,NA,NA,https://en.wikipedia.org/wiki/John_Davy_(chemist)
1994,"Dawes, Kwame Senu Neville",Progeny of Air,,English,Jamaica,,Peepal Tree Press,Leeds,England,"Leeds, England",Poetry Collection,978-0-948833-68-7,115,1994,English,Progeny of Air,Peepal Tree Press,NA,"https://images-na.ssl-images-amazon.com/images/I/51TLZ137plL._SX301_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Kwame_Dawes
1960,"Dawes, Neville",The Last Enchantment,,English,Nigeria,Jamaica,MacGibbon & Kee,London,England,"London, England",Fiction (Novel),NA,288,1960,English,The Last Enchantment,MacGibbon and Kee,NA,NA,https://en.wikipedia.org/wiki/Neville_Dawes
2014,"De la Rosa, Jonathan",Captain Coconut,,English,United States,,Jonathan de la Rosa,Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago",Fiction (Novel),978-0-692-28344-8,24,2014,English,Captain Coconut,Jonathan de la Rosa,NA,"https://images-na.ssl-images-amazon.com/images/I/51Kq3le9E-L._SY498_BO1,204,203,200_.jpg",NA
1956,De Lisser H. G.,The Cup and the Lip,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),NA,256,1956,English,The Cup and the Lip,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1958,"De Lisser, H. G.",The Arawak Girl,,English,Jamaica,,Pioneer Press,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),NA,91,1958,English,The Arawak Girl,Pioneer Press,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1910,"De Lisser, H. G.",In Jamaica and Cuba,,English,Jamaica,,The Gleaner Company Ltd.,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),NA,164,1910,English,In Jamaica and Cuba,The Gleaner Company Ltd.,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1913,"De Lisser, H. G.",Jane's Career: A Story of Jamaica,,English,Jamaica,,The Gleaner Company Ltd.,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),NA,207,1913,English,Jane's Career: A Story of Jamaica,The Gleaner Company Ltd.,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1922,"De Lisser, H. G.",The Devil's Mountain,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Autobiography/Memoir,NA,NA,1922,English,The Devil's Mountain,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1967,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),NA,255,1929,English,The White Witch of Rosehall,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1968,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),NA,255,1929,English,The White Witch of Rosehall,Planter's Punch,NA,https://pictures.abebooks.com/inventory/md/md22899613333.jpg,https://en.wikipedia.org/wiki/H._G._de_Lisser
1971,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),978-05-101-9904-3,255,1929,English,The White Witch of Rosehall,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1971,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Africana Publishing Company,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),NA,255,1929,English,The White Witch of Rosehall,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1974,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),978-05-101-9904-3,255,1929,English,The White Witch of Rosehall,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1958,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),978-0-510-19904-3,256,1929,English,The White Witch of Rosehall,Planter's Punch,NA,"https://images-na.ssl-images-amazon.com/images/I/51uKrRmzvTL._SX336_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/H._G._de_Lisser
2002,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Macmillan Publishers,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),978-0-333-34969-4,254,1929,English,The White Witch of Rosehall,Planter's Punch,NA,https://images.bwbcovers.com/033/The-White-Witch-of-Rosehall-Herbert-G-de-Lisser-9780333349694.jpg,https://en.wikipedia.org/wiki/H._G._de_Lisser
2007,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Macmillan Publishers,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-1-405-08592-2,272,1929,English,The White Witch of Rosehall,Planter's Punch,NA,"https://images-na.ssl-images-amazon.com/images/I/51LI8peBQ3L._SX294_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/H._G._de_Lisser
2018,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Macmillan Publishers,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-1-405-08592-2,261,1929,English,The White Witch of Rosehall,Planter's Punch,NA,https://coverart.oclc.org/ImageWebSvc/oclc/+-+3567100356_140.jpg,https://en.wikipedia.org/wiki/H._G._de_Lisser
1944,"De Lisser, H. G.",The Hundred Years: An Interesting Account of the Founding of the Jamaica Mutual Life Assurance Society in the Year 1844,Planter's Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,4,1944,English,The Hundred Years: An Interesting Account of the Founding of the Jamaica Mutual Life Assurance Society in the Year 1844,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1944,"De Lisser, H. G.",Random Jottings: Selections From the Famous Series by H.G.D,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,3,1944,English,Random Jottings: Selections From the Famous Series by H.G.D,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
2018,"De Lisser, H. G.",La Sorcière Blanche de Rosehall,,English,Jamaica,,L'Harmattan,Paris,France,"Paris, France",Fiction (Novel),978-2-343-13965-4,260,2018,English,The White Witch of Rosehall,Planter's Punch,"Nicolas, Eugène","https://images-na.ssl-images-amazon.com/images/I/41QV7JssmeL._SX315_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/H._G._de_Lisser
2002,"De Lisser, H. G.",Rōzukan no Shiroi Majo,,English,Jamaica,,Satō Atsuko,Tokyo,Japan,"Tokyo, Japan",Fiction (Novel),NA,420,2002,English,The White Witch of Rosehall,Planter's Punch,"Atsuko, Satō",NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1982,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Macmillan Publishers,Oxford,England,"Oxford, England",Fiction (Novel),978-0-333-34969-4,254,1929,English,The White Witch of Rosehall,Planter's Punch,NA,"https://images-na.ssl-images-amazon.com/images/I/51Q7K27P6NL._SX311_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/H._G._de_Lisser
1982,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Macmillan Publishers,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),978-0-333-34969-4,254,1929,English,The White Witch of Rosehall,Planter's Punch,NA,"https://images-na.ssl-images-amazon.com/images/I/51Q7K27P6NL._SX311_BO1,204,203,200_.jpgamazon.com/images/I/51Q7K27P6NL._SX311_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/H._G._de_Lisser
1943,"De Lisser, H. G.",Jottings at Random,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,2,1943,English,Jottings at Random,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1942,"De Lisser, H. G.",Psyche: A Tale of Black and White,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),NA,NA,1942,English,Psyche: A Tale of Black and White,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1941,"De Lisser, H. G.",Myrtle and Money,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),NA,NA,1941,English,Myrtle and Money,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1943,"De Lisser, H. G.",The English Official in the Tropics,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,1,1943,English,The English Official in the Tropics,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1944,"De Lisser, H. G.",The Hundred Years: An Interesting Account of the Founding of the Jamaica Mutual Life Assurance Society in the Year 1844,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,4,1944,English,The Hundred Years: An Interesting Account of the Founding of the Jamaica Mutual Life Assurance Society in the Year 1844,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1943,"De Lisser, H. G.",The Return: The Girl Who Came Back to Her Native Land - and to Disillusionment and Tragedy,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,NA,1943,English,The Return: The Girl Who Came Back to Her Native Land - and to Disillusionment and Tragedy,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1948,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),978-0-333-34969-4,286,1929,English,The White Witch of Rosehal,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1950,"De Lisser, H. G.",The White Witch of Rosehall,,English,Jamaica,,Ernest Benn,London,England,"London, England",Fiction (Novel),978-0-333-34969-4,286,1929,English,The White Witch of Rosehal,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1944,"De Lisser, H. G.",Triumphant Squalitone: A Tropical Extravaganza,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,NA,1916,English,Triumphant Squalitone,The Gleaner Company Ltd.,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1942,"De Lisser, H. G.",War Talk in Jamaica,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,1,1942,English,War Talk in Jamaica,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1943,"De Lisser, H. G.",Jamaica's Grand Old Man and His Spiritual Forefather,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,2,1943,English,Jamaica's Grand Old Man and His Spiritual Forefather,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1906,"De Lisser, H. G.",Jamaicans in Colon and the Canal Zone,,English,Jamaica,,The Gleaner Company Ltd.,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,27,1904,English,Jamaicans in Colon and the Canal Zone,The Gleaner Company Ltd.,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1927,"De Lisser, H. G.","The Development of Vere: What Faith, Capital and Brains Have Done For It",Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,4,1927,English,"The Development of Vere: What Faith, Capital and Brains Have Done For It",Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
1932,"De Lisser, H. G.",Rose and Her Electrified Marriage: Notes on Domesticated Electricity,Planters' Punch,English,Jamaica,,Planters' Punch,Kingston,Jamaica,"Kingston, Jamaica",Short Story,NA,4,1932,English,Rose and Her Electrified Marriage: Notes on Domesticated Electricity,Planter's Punch,NA,NA,https://en.wikipedia.org/wiki/H._G._de_Lisser
